"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"s2[17,2]",5.30780253875,5.31121,0.376668703862626,0.380576007,4.68765,5.917831,1.00010250613229,6821.04577438057,6519.35973377017
"s2[18,2]",5.2794159125,5.28407,0.376955036660309,0.377751654,4.6521895,5.8935865,0.999861404107387,6950.03188732085,7361.12132588622
"s2[19,2]",10.2678340475,10.2733,0.505529509619943,0.509287926,9.423874,11.09001,0.99995598745017,6971.20602011983,6949.73236104652
"s2[20,2]",10.34063744375,10.34705,0.519618188739373,0.521771417999999,9.504454,11.19789,1.00015484733064,7509.77734546036,7131.96884437437
"s2[21,2]",10.35617575625,10.3504,0.521598807896934,0.513572640000001,9.5042405,11.222905,1.00029783922188,7108.06055895413,5677.44307984401
"s2[1,3]",9.47093447125,9.47052,0.208586598751257,0.206140703999999,9.1256605,9.8182165,1.0000514206862,7241.57682390734,6989.74959204082
"s2[2,3]",9.469876105,9.46874,0.21052672804072,0.207816042000001,9.1260075,9.817177,0.999696010448094,7062.96061948751,6668.22406230341
"s2[3,3]",9.4600580825,9.459795,0.210459248909687,0.20852769,9.1086095,9.8043825,0.999914438304377,7571.61986828587,6674.86107134377
"s2[4,3]",8.62477793375,8.62456,0.128112192444746,0.127340513999999,8.4145865,8.8367235,1.0001116647648,7388.7509546126,7014.90896723499
"s2[5,3]",8.6304193,8.6289,0.130501241116997,0.130483626000001,8.41606,8.8453805,1.00079039962558,7521.64304623658,7215.76930694249
"s2[6,3]",8.63363219375,8.63263,0.130179285850065,0.129749738999998,8.4177865,8.8492325,1.00022228896615,7457.9979764086,6845.38486375446
"s2[7,3]",10.42041571375,10.41855,0.269227685867873,0.27331731,9.9806845,10.8613,0.999756866374197,6926.5525256582,6858.93276807506
"s2[8,3]",10.3986547275,10.3994,0.272455844605522,0.266200830000001,9.9537075,10.850935,1.00079270255703,7517.98897746849,7214.09991182285
"s2[9,3]",10.4322110125,10.4329,0.274709461089623,0.272946660000001,9.98345,10.884605,1.00057060556035,7260.97343476675,6784.84464977089
"s2[10,3]",6.13023708625,6.135055,0.513439647576578,0.504884603999999,5.2879555,6.96725,1.00024033136685,6752.70994725856,7085.71889008966
"s2[11,3]",6.015716755,6.01628,0.517900698187686,0.513357663,5.1570485,6.854162,1.00000519832082,7400.21835109944,6858.16682655754
"s2[12,3]",6.0285165675,6.031615,0.510443999140332,0.504966147000001,5.170965,6.8645985,1.00020738838943,7228.27425054458,7286.10740758937
"s2[13,3]",7.3608102175,7.35611,0.386504900189715,0.382903689,6.7258705,8.0077965,0.99999360421204,7409.51708904398,7084.45081580824
"s2[14,3]",7.3605702225,7.365575,0.388079762611913,0.390613209,6.72334,7.9909615,1.000192054636,7289.84478940416,6876.45622324819
"s2[15,3]",7.35248889375,7.35225,0.391014027609256,0.392711088,6.707333,7.987236,0.999885715309081,7673.88334017012,7116.57347964763
"s2[16,3]",8.704531495,8.7025,0.26739387237227,0.262405374,8.2655785,9.153932,1.00019190308208,7463.91906789647,7339.71771170127
"s2[17,3]",8.70756548875,8.7048,0.26588764605304,0.267275715,8.2759765,9.1472135,1.00017066152838,6743.85072049753,6889.22820656449
"s2[18,3]",8.710505595,8.71406,0.271470656178097,0.27309492,8.264797,9.153587,1.00024783691863,7368.52749124048,7204.89086778063
"s2[19,3]",11.3413006625,11.3389,0.322275996516266,0.32424462,10.8193,11.873925,1.0000532760333,6990.79764821783,6208.46433099027
"s2[20,3]",11.3473676375,11.3491,0.319917014772521,0.32305854,10.81678,11.8636,0.999831746324864,7589.93121134132,6978.24743453659
"s2[21,3]",11.344074925,11.3436,0.316464705464875,0.313866420000001,10.82406,11.862305,0.999809317576158,7137.01155874146,7077.8981067403
"y_fit[1,1]",-19.3072099625,-19.3075,0.0537799712036128,0.0507049200000003,-19.395605,-19.219295,1.00007457564755,6774.50300576152,6829.85508704605
"y_fit[2,1]",-19.3072049,-19.3075,0.0537796229483859,0.0507049200000003,-19.395605,-19.21929,1.00007503835665,6774.3464577833,6829.85508704605
"y_fit[3,1]",-19.307187075,-19.3075,0.0537787564450404,0.0507049200000003,-19.395605,-19.21929,1.00007263244787,6774.3335003724,6829.85508704605
"y_fit[4,1]",-19.1137325375,-19.12125,0.314356342510089,0.318388350000003,-19.61141,-18.58459,1.00029219109406,7416.96112681185,7072.05969662944
"y_fit[5,1]",-19.113733425,-19.12125,0.314356206465432,0.318388350000003,-19.61141,-18.58459,1.00029221188731,7416.97995158722,7072.05969662944
"y_fit[6,1]",-19.1138086625,-19.1214,0.314331933617589,0.31846248,-19.61151,-18.58479,1.00029345632617,7416.97473516333,7072.05969662944
"y_fit[7,1]",-19.1953444375,-19.2018,0.255892168890181,0.25070766,-19.60642,-18.76249,1.00014714830182,7019.17011273116,6681.13552356349
"y_fit[8,1]",-19.195336525,-19.2018,0.255893042484694,0.25070766,-19.60642,-18.762395,1.00014804321781,7019.00349906431,6681.13552356349
"y_fit[9,1]",-19.1953321,-19.20175,0.255893600181632,0.25078179,-19.60642,-18.762395,1.00014536051524,7019.13790585645,6681.13552356349
"y_fit[10,1]",-19.2426905625,-19.24955,0.227941089137519,0.225725850000003,-19.604335,-18.8579,1.00057514724326,7427.43511954269,6916.30840963904
"y_fit[11,1]",-19.2426915875,-19.24955,0.227940494469735,0.225725850000003,-19.604335,-18.8579,1.00057519665126,7427.4194406832,6916.30840963904
