variable;mean;median;sd;mad;q5;q95;time;
p_fit[117;1];0.00763709433526125;0.00436012;0.0101691794128702;0.004746425292;0.00033352575;0.02545722;398.009607331827
p_fit[118;1];0.00763722989340975;0.00436025;0.0101693117119051;0.004746870072;0.00033354115;0.02545748;398.014156280956
p_fit[119;1];0.0076372879503845;0.004360305;0.0101693686797922;0.004746862659;0.00033354695;0.0254576;398.016111859418
p_fit[120;1];0.007637321460083;0.004360335;0.0101694000898738;0.004746870072;0.0003335508;0.02545762;398.017258680183
p_fit[121;1];0.00763732501423275;0.004360335;0.0101694032515037;0.004746870072;0.00033355175;0.02545762;398.017375283856
p_fit[122;1];0.00763735522975875;0.004360365;0.0101694323066755;0.004746862659;0.00033355465;0.02545773;398.018376857471
p_fit[123;1];0.0085895972861145;0.004857835;0.0110503638739403;0.00546478947;0.0003356549;0.02879417;428.000076657063
p_fit[124;1];0.00858960581491425;0.004857845;0.0110503714376586;0.005464782057;0.0003356558;0.028794175;428.000340931313
p_fit[125;1];0.0085896250480635;0.00485788;0.0110503868688411;0.005464767231;0.00033565765;0.02879409;428.000983723537
p_fit[126;1];0.0085896743673665;0.004857965;0.0110504288348768;0.005464744992;0.0003356613;0.028794015;428.00259247758
p_fit[127;1];0.00858968196311625;0.00485798;0.0110504356486368;0.005464737579;0.0003356622;0.028794015;428.002824592125
p_fit[128;1];0.008589685746741;0.00485798;0.0110504392875282;0.005464737579;0.0003356622;0.02879402;428.002945841919
p_fit[129;1];0.008589687840991;0.00485799;0.0110504408887337;0.005464737579;0.0003356622;0.02879402;428.003012447376
p_fit[130;1];0.008589687943991;0.00485799;0.011050440918138;0.005464730166;0.0003356622;0.02879402;428.003018301483
p_fit[131;1];0.00858969737374075;0.004858005;0.0110504520309922;0.005464730166;0.0003356631;0.028794025;428.003312183954
p_fit[132;1];0.00858971983959225;0.00485804;0.0110504676158723;0.005464707927;0.00033566495;0.028794035;428.004045513193
p_fit[133;1];0.00858971997736725;0.00485804;0.0110504675858243;0.005464707927;0.00033566495;0.028794035;428.004050545716
p_fit[134;1];0.00858974515824125;0.004858085;0.0110504875102501;0.005464693101;0.0003356677;0.02879395;428.004901910708
p_fit[135;1];0.008589747752666;0.004858095;0.0110504900624099;0.005464693101;0.0003356677;0.02879395;428.004978529341
p_fit[136;1];0.008589762289118;0.00485812;0.0110505030638847;0.005464685688;0.0003356686;0.028793955;428.005440179114
p_fit[137;1];0.008589765330843;0.00485812;0.0110505051307409;0.005464685688;0.00033566955;0.028793955;428.005535735539
p_fit[138;1];0.00858976696341775;0.004858125;0.0110505067758612;0.005464685688;0.00033566955;0.028793955;428.005585182039
p_fit[139;1];0.00858979145671675;0.00485817;0.011050527389089;0.005464693101;0.00033567135;0.02879387;428.006401821864
p_fit[140;1];0.008589800613194;0.004858185;0.0110505352137534;0.005464722753;0.00033567225;0.028793875;428.006681571733
p_fit[141;1];0.0085898109274185;0.004858205;0.0110505452411818;0.005464752405;0.0003356732;0.02879388;428.007031683531
p_fit[142;1];0.0085898158882935;0.00485821;0.0110505484977092;0.005464759818;0.0003356741;0.02879388;428.007188465721
p_fit[143;1];0.00858984534199475;0.004858265;0.0110505739517551;0.005464841361;0.0003356759;0.0287938;428.008170116167
p_fit[144;1];0.0085898485573945;0.004858265;0.0110505766304111;0.005464848774;0.00033567685;0.0287938;428.008269915464
p_fit[145;1];0.00858985459676925;0.00485828;0.0110505815885008;0.005464871013;0.00033567685;0.028793805;428.00846099725
p_fit[146;1];0.0085898765869185;0.004858315;0.0110506013414292;0.005464930317;0.00033567865;0.02879381;428.009160688212
p_fit[147;1];0.0085898871656455;0.004858335;0.011050610890135;0.005464959969;0.0003356796;0.02879372;428.009509745161
p_fit[148;1];0.0085898905225955;0.00485834;0.0110506137025953;0.005464967382;0.0003356805;0.028793725;428.009613895616
p_fit[149;1];0.0085899650758475;0.00485847;0.0110506769273925;0.005465174946;0.0003356869;0.02879366;428.012034793938
p_fit[150;1];0.0085899650860975;0.00485847;0.0110506768984727;0.005465174946;0.0003356869;0.02879366;428.012040678314
p_fit[151;1];0.00858996712352225;0.004858475;0.011050678429423;0.005465182359;0.0003356869;0.02879366;428.012115026843
p_fit[152;1];0.008589976469297;0.00485849;0.0110506871110914;0.005465204598;0.00033568785;0.028793665;428.012422043774
p_fit[153;1];0.008589976986272;0.00485849;0.0110506876809345;0.005465204598;0.00033568785;0.028793665;428.012441760227
p_fit[154;1];0.00859004336422425;0.00485861;0.0110507475235133;0.00546538251;0.0003356933;0.028793595;428.014575817832
p_fit[155;1];0.00859009392569975;0.004858695;0.0110507887836826;0.005465412162;0.0003356979;0.02879352;428.01623680213
p_fit[156;1];0.0085901015779745;0.004858705;0.0110507953321512;0.005465412162;0.00033569785;0.028793525;428.016488586017
p_fit[157;1];0.0085901015854745;0.004858705;0.0110507953280852;0.005465412162;0.00033569785;0.028793525;428.01648909322
p_fit[158;1];0.00859010683609925;0.00485872;0.0110507999306965;0.005465419575;0.0003356988;0.02879353;428.016664408301
p_fit[159;1];0.008590111320474;0.004858725;0.0110508040363306;0.005465419575;0.0003356988;0.028793435;428.016807663981
p_fit[160;1];0.00859013108690075;0.004858755;0.0110508190585235;0.005465426988;0.0003357006;0.028793445;428.017453821832
p_fit[161;1];0.0085901779207265;0.00485884;0.0110508600411296;0.00546545664;0.0003357052;0.028793365;428.018976812414
p_fit[162;1];0.00859019438057575;0.00485887;0.0110508765351077;0.005465464053;0.0003357061;0.028793375;428.019493943383
p_fit[163;1];0.00859020651595025;0.00485889;0.0110508876102457;0.005465471466;0.00033570705;0.02879338;428.019890143238
p_fit[164;1];0.00915667714076625;0.0050752;0.0114227889688049;0.00595834701;0.0003356486;0.03196686;459.002998758475
p_fit[165;1];0.00915667635281575;0.005075195;0.0114227840354676;0.005958384075;0.0003356486;0.03196686;459.003341982588
p_fit[166;1];0.00915667561036275;0.00507519;0.0114227811673583;0.005958406314;0.0003356486;0.03196686;459.003621637407
p_fit[167;1];0.0091566745962125;0.005075185;0.011422779332284;0.005958428553;0.00033564955;0.031966955;459.003939086325
p_fit[168;1];0.009156669323499;0.005075145;0.011422755884337;0.00595864353;0.0003356515;0.03196714;459.00656204781
p_fit[169;1];0.00915666603313875;0.005075115;0.0114227360820435;0.005958799203;0.0003356525;0.031967325;459.008580650552
p_fit[170;1];0.0091566652424635;0.00507511;0.0114227345764724;0.005958821442;0.0003356525;0.03196742;459.008842513203
p_fit[171;1];0.00915666146607875;0.00507509;0.0114227178992318;0.00595894005;0.00033565445;0.03196751;459.010442350972
p_fit[172;1];0.00915666088380325;0.005075075;0.0114227149871486;0.005958991941;0.00033565445;0.031967605;459.011003148537
p_fit[173;1];0.00915665437426175;0.005075035;0.0114226856907636;0.005958999354;0.0003356564;0.031967885;459.014021135825
p_fit[174;1];0.00915665360901125;0.005075025;0.0114226834968011;0.005958984528;0.00033565735;0.031967975;459.014403569256
p_fit[175;1];0.009156653376611;0.005075025;0.0114226827618056;0.005958984528;0.00033565735;0.031967975;459.014459875217
p_fit[176;1];0.0091566506324045;0.005075005;0.0114226702369074;0.005958947463;0.00033565835;0.03196807;459.01563706785
p_fit[177;1];0.009156648428823;0.005074985;0.0114226603988521;0.005958962289;0.00033565835;0.03196816;459.016844289135
p_fit[178;1];0.0091566477828975;0.005074985;0.0114226562822014;0.005958962289;0.0003356593;0.031968255;459.01717751143
p_fit[179;1];0.0091566467547945;0.005074975;0.0114226526645222;0.005958969702;0.00033565935;0.031968255;459.017589932028
p_fit[180;1];0.00915664583846575;0.00507496;0.011422645692307;0.005958984528;0.0003356603;0.03196835;459.01860483171
p_fit[181;1];0.00915664355138775;0.00507496;0.0114226391122676;0.005958984528;0.0003356603;0.031968345;459.018899367163
p_fit[182;1];0.009156641827234;0.005074945;0.0114226307248945;0.005958999354;0.00033566125;0.03196844;459.019827460381
p_fit[183;1];0.009156641823959;0.005074945;0.0114226308310828;0.005958999354;0.00033566125;0.03196844;459.019833275899
p_fit[184;1];0.00809963308267925;0.004354;0.0102706153349424;0.0052550742174;0.0002390747;0.029837945;490.000682272231
p_fit[185;1];0.00809961641250125;0.004353995;0.0102705998541162;0.0052550705109;0.0002390727;0.029837945;490.000937920818
p_fit[186;1];0.008099599420751;0.004353985;0.010270583816564;0.0052550601327;0.00023907165;0.029837845;490.001197266611
p_fit[187;1];0.00809956080298775;0.00435397;0.0102705476991127;0.005255046048;0.0002390677;0.02983775;490.00178339276
p_fit[188;1];0.00809951493673925;0.004353945;0.0102705050755054;0.0052550193612;0.00023906365;0.029837655;490.002479710206
p_fit[189;1];0.00809948407926625;0.00435393;0.0102704756054742;0.0052550037939;0.00023906065;0.029837555;490.002946143411
p_fit[190;1];0.00809946225850575;0.00435392;0.0102704547572109;0.005254994157;0.00023905865;0.02983746;490.003281351151
