variable;mean;median;sd;mad;q5;q95;rhat;ess_bulk;ess_tail;
s2[10;3];6.12154897125;6.116625;0.501965629324117;0.505722273;5.299217;6.958932;1.00002146924441;7116.03383928187;6640.92648988511
s2[11;3];6.02048296875;6.0187;0.515358385732703;0.507382785;5.1726615;6.8789385;0.999962119922014;7046.54474406544;6357.51992330869
s2[12;3];6.015161085;6.02251;0.504947595139661;0.503809719000001;5.1793955;6.8435395;1.00002059455915;6529.19503852193;6970.86239758771
s2[13;3];7.36173259875;7.362985;0.389282102106701;0.385186893;6.720579;8.0033665;1.0008300010476;6647.95188566278;6818.66825149845
s2[14;3];7.3544343775;7.351305;0.387950003292073;0.381413676;6.71864;7.991076;0.999869141809335;6973.05284397946;6185.20041311287
s2[15;3];7.3541546525;7.351785;0.3874351814495;0.388559808;6.715751;7.99283;0.999837966972831;7091.07974865464;6918.84133695857
s2[16;3];8.7056825775;8.704945;0.27241457951397;0.274481151000001;8.2583685;9.1525105;1.00002751705057;6599.71331834516;6143.38364412408
s2[17;3];8.7115121075;8.715375;0.27046572010858;0.271145301000001;8.265079;9.161365;0.999748658816452;6962.13282952374;6526.88566024178
s2[18;3];8.70895550625;8.710315;0.269832127839969;0.271575255;8.258402;9.1490995;1.00016305657221;6866.41558393659;6991.28811149121
s2[19;3];11.341451225;11.3384;0.31774151304502;0.318907259999999;10.8194;11.85491;1.00030602371913;7247.14778847084;6820.98565011468
s2[20;3];11.3447575575;11.3443;0.32068597971159;0.316757490000002;10.81769;11.866345;1.00005181004418;7349.867930024;6726.66155993976
s2[21;3];11.34164219125;11.3413;0.323917130285159;0.32528244;10.80658;11.87962;1.00053475837572;7046.39507118374;6629.75505800344
y_fit[1;1];-19.3060455875;-19.3059;0.0519228843697074;0.0480362400000013;-19.390705;-19.221895;1.00048765995817;6708.50156279242;6455.95298056834
y_fit[2;1];-19.3059201;-19.30575;0.0519096853238276;0.0481103699999959;-19.3906;-19.221695;1.00049535220483;6708.16161480067;6467.13051230076
y_fit[3;1];-19.3056595875;-19.30545;0.0518838645197573;0.0480362400000013;-19.3903;-19.2215;1.00048904979089;6706.23250064589;6522.83944191537
y_fit[4;1];-19.1167089;-19.1247;0.313587370218628;0.31542315;-19.621415;-18.58249;0.999997337457159;7533.16462990939;6962.43236725792
y_fit[5;1];-19.116773125;-19.12475;0.31356598969989;0.31542315;-19.62142;-18.58259;0.99999753031482;7533.13718551308;6962.43236725792
