"X1.lambda";"X2.lambda";"X3.lambda";"X4.lambda"
0,0203597;0,0194903;0,0201613;0,0222208
0,0224722;0,0214544;0,0224047;0,0192757
0,0192734;0,0211816;0,0226435;0,0217479
0,0211692;0,020792;0,0241462;0,0231782
0,0214232;0,0209656;0,0198531;0,0215717
0,0224499;0,0193721;0,0218993;0,0226389
0,0192876;0,0190809;0,0196794;0,0204964
0,0202206;0,0207104;0,0213778;0,0199527
0,0207224;0,0198562;0,0220112;0,0210518
0,020589;0,0220282;0,0204969;0,022132
0,0220586;0,0213339;0,0217891;0,0222883
0,0204707;0,0192693;0,0198012;0,021237
0,0205166;0,0204612;0,0200046;0,0225638
0,0208459;0,0191986;0,0221683;0,0192827
0,0223878;0,0186416;0,0218312;0,0210981
0,0193979;0,0211868;0,0205134;0,0197874
0,0210346;0,0201326;0,0213012;0,0224186
0,0226193;0,0231312;0,019734;0,0197314
0,0189485;0,0222443;0,0212515;0,0211768
0,0220068;0,019292;0,0209024;0,020098
0,0209071;0,023509;0,0213584;0,0202613
0,0201172;0,0235828;0,0202242;0,0216829
0,0215018;0,0193043;0,0208083;0,0196063
0,0204763;0,0204984;0,020359;0,0238575
0,0207598;0,0208124;0,0225527;0,0202871
0,0206454;0,0233391;0,0195504;0,0195022
0,0216682;0,0184202;0,0213183;0,0209611
0,0199891;0,0235069;0,0222603;0,0209776
0,0215954;0,0182944;0,0220412;0,0202704
0,0198907;0,0212678;0,020992;0,0223714
0,0216116;0,0216039;0,0205488;0,0219611
0,0194939;0,0191097;0,0205264;0,0200066
0,0204863;0,0222955;0,0214278;0,0204576
0,0199544;0,0221776;0,0201888;0,0203668
0,0196604;0,0206995;0,0217018;0,0208307
0,020086;0,0205946;0,0204547;0,0210561
0,0206205;0,0209558;0,0209317;0,0203199
0,0202713;0,02157;0,0204985;0,0204124
0,0199913;0,0220581;0,0198677;0,0195185
0,0221716;0,0185865;0,0197624;0,0232632
0,0198391;0,0201581;0,0216308;0,0198019
0,0217051;0,0214212;0,0228052;0,0213396
0,0209423;0,0214511;0,0195729;0,0207726
0,0210635;0,0216782;0,0195158;0,0208711
0,0196604;0,0202818;0,022702;0,0199411
0,0219291;0,0211721;0,0216659;0,0214714
0,0214669;0,0213128;0,0192455;0,021004
0,0207007;0,0203941;0,0206119;0,019646
0,0206491;0,0207845;0,0218017;0,0206984
0,0207589;0,0222858;0,0217541;0,0214496
0,0214422;0,0219822;0,0206202;0,0194872
0,0205807;0,0225887;0,0207542;0,020037
0,0214921;0,0224618;0,0200107;0,0221585
0,0206126;0,0194209;0,02079;0,0194307
0,0207913;0,0228842;0,0201726;0,0212859
0,0205734;0,0214192;0,0194656;0,0217128
0,0220047;0,0207701;0,022481;0,0210274
0,019137;0,0197965;0,0236631;0,0192439
0,0199049;0,0222718;0,0184485;0,0224157
0,0221933;0,0209874;0,0228606;0,0209921
0,0195528;0,0192535;0,0213958;0,0195879
0,0222363;0,0230863;0,0217105;0,0217768
0,0200982;0,0199205;0,0210499;0,020132
0,0215528;0,0229037;0,0195858;0,0225281
0,0192621;0,0210075;0,0214408;0,0187092
0,0226036;0,0213595;0,0192478;0,0209399
0,0197708;0,0205065;0,0208084;0,0222474
0,0195923;0,0209231;0,0202197;0,0216343
0,0200444;0,0211886;0,0204667;0,020267
0,0219151;0,020394;0,0226515;0,0219771
0,0203963;0,0203405;0,0183872;0,0202355
0,0198356;0,0206322;0,0217747;0,0216662
0,0220661;0,0218362;0,0181319;0,0200983
0,0196252;0,020878;0,0208577;0,0207446
0,0216332;0,0193751;0,0198801;0,0221783
0,0195829;0,0222856;0,0211121;0,0208301
0,0231765;0,0186933;0,020404;0,0218694
0,0189036;0,0216873;0,0211402;0,0230842
0,0209197;0,0209883;0,0197302;0,0202277
0,0199672;0,0211364;0,0216586;0,0217214
0,0210139;0,0202524;0,0209152;0,0206596
0,0207622;0,0209453;0,018556;0,0222456
0,0209027;0,0201677;0,018855;0,0196366
0,0213779;0,0204836;0,0209185;0,0197895
0,0197058;0,0211941;0,0204804;0,0198169
0,0200466;0,0203464;0,0209584;0,0208528
0,0205983;0,0210474;0,0208889;0,0210989
0,0223198;0,0208379;0,0212381;0,0202311
0,0206282;0,0208417;0,0232657;0,0211375
0,0191073;0,0206158;0,0218255;0,0201051
0,0207221;0,0217314;0,0213684;0,0218079
0,0199212;0,0209668;0,0212054;0,0202919
0,0208571;0,0205095;0,0208507;0,0198024
0,0199992;0,0206186;0,0206036;0,0219105
0,0190978;0,0203478;0,0190635;0,0219596
0,0231061;0,0229308;0,0242361;0,0201633
0,0194688;0,0202916;0,0188006;0,0213247
0,0225221;0,0220847;0,0236388;0,0208982
0,0204293;0,0198241;0,0197745;0,0211772
0,0214079;0,0222398;0,0221715;0,0222475
0,0195565;0,0185208;0,0197954;0,0194983
0,0210502;0,0214494;0,0221622;0,0233247
0,0192118;0,019802;0,0193182;0,0230787
0,02234;0,0206411;0,0195964;0,0198938
0,0191992;0,0195658;0,0209711;0,0222643
0,0210933;0,0196806;0,0196218;0,0200177
0,0200715;0,0204214;0,0224037;0,021738
0,021929;0,0190424;0,0210382;0,0218599
0,0191267;0,0227364;0,0201252;0,0206349
0,0214945;0,0210949;0,0212449;0,020443
0,0220779;0,0213808;0,0206829;0,0220889
0,0212158;0,0209324;0,0202956;0,0209133
